"","SPOTNDVI"
"1",NA
"2",0.65
"3",0.67
"4",0.68
"5",0.69
"6",0.61
"7",0.62
"8",0.63
"9",0.64
"10",0.66
"11",0.6
"12",0.7
"13",0.46
"14",0.48
"15",0.5
"16",0.53
"17",0.56
"18",0.58
"19",0.59
"20",0.57
"21",0.71
"22",0.43
"23",0.41
"24",0.4
"25",0.39
"26",0.42
"27",0.44
"28",0.49
"29",0.52
"30",0.55
"31",0.54
"32",0.51
"33",0.45
"34",0.38
"35",0.47
"36",0.72
"37",0.37
"38",0.36
"39",0.73
"40",0.32
"41",0.31
"42",0.33
"43",0.35
"44",0.34
"45",0.74
"46",0.75
"47",0.16
"48",0.17
"49",0.19
"50",0.22
"51",0.26
"52",0.21
"53",0.2
"54",0.18
"55",0.24
"56",0.29
"57",0.25
"58",0.23
"59",0.28
"60",0.27
"61",0.3
"62",0.15
"63",0.76
"64",0.14
"65",0.77
"66",0.78
"67",0.13
"68",0.12
"69",0.11
"70",0.08
"71",0.09
"72",0.1
"73",-0.32
"74",-0.31
"75",-0.29
"76",-0.26
"77",-0.21
"78",-0.16
"79",-0.1
"80",-0.03
"81",0.04
"82",-0.3
"83",-0.33
"84",-0.27
"85",-0.23
"86",-0.19
"87",-0.14
"88",-0.08
"89",0
"90",-0.28
"91",-0.25
"92",-0.22
"93",-0.18
"94",-0.12
"95",-0.04
"96",0.05
"97",-0.2
"98",-0.15
"99",-0.07
"100",0.02
"101",-0.24
"102",-0.09
"103",-0.36
"104",-0.35
"105",-0.34
"106",-0.11
"107",-0.02
"108",0.07
"109",-0.4
"110",-0.39
"111",-0.38
"112",-0.37
"113",-0.41
"114",-0.06
"115",-0.17
"116",-0.13
"117",0.03
"118",-0.05
"119",0.06
"120",-0.01
"121",0.01
"122",0.79
"123",0.8
"124",0.81
"125",0.82
"126",0.83
"127",-0.42
"128",-0.44
"129",-0.45
"130",-0.43
"131",-0.46
"132",-0.47
"133",-0.48
"134",-0.49
"135",-0.5
"136",-0.51
"137",0.84
"138",-0.52
"139",-0.53
"140",0.85
"141",-0.54
"142",-0.55
